Month,Date,Heading SE,Heading NW,Present,Total Birds,Wind Direction,Wind Speed (mph),precipitation,Temperature (C)
3,1,9,50,250,309,NW,4,no,-1
3,2,1657,0,0,1657,S,4,no,5
3,3,261,0,0,261,SW,2,no,8
3,4,2128,0,0,2128,W ,3,no,8
3,5,21,10,0,31,NW,3,no,6
3,6,3031,0,0,3031,E,2,yes,7
3,7,5971,0,0,5971,NW,5,no,3
3,8,33,334,0,367,NW,2,no,4
3,9,716,265,0,981,SW,2,no,7
3,10,3688,94,0,3782,SW,4,no,10
3,11,206,61,0,267,NW,3,no,8
3,12,6747,0,0,6747,NE,1,no,8
3,13,701,0,0,701,SE,4,no,10
3,14,0,0,0,0,NW,3,no,8
3,15,412,0,0,412,N,2,yes,5
3,16,14,0,1500,1514,NE,2,no,1
3,17,2536,0,0,2536,N,1,no,6
3,18,391,0,0,391,NE,2,no,7
3,19,16204,0,0,16204,NE,2,yes,11
3,20,4175,0,0,4175,SW,4,no,12
3,21,227,0,0,227,N,3,yes,11
3,22,254,0,2700,2954,NW,1,no,2
3,23,1885,0,0,1885,E,5,yes,6
3,24,714,0,0,714,NW,2,no,7
3,25,2277,0,0,2277,NE,4,no,7
3,26,1140,0,0,1140,NW,1,no,1
3,27,2958,0,0,2958,SW,2,no,9
3,28,6984,0,0,6984,S,3,yes,9
3,29,,,, ,,,,
3,30,,,, ,,,,
3,31,,,, ,,,,
