Month,Date,Heading SE,Heading NW,Present,Total Birds,Wind Direction,Wind Speed (mph),precipitation,Temperature (F),Temperature (C)
4,1,585,0,0,585,NW,17,yes,44,7
4,2,5,0,0,5,NW,17,no,35,2
4,3,2,0,0,2,NW,14,no,37,3
4,4,4289,0,0,4289,SW,9,no,46,8
4,5,1165,0,0,1165,NW,10,no,49,9
4,6,1750,24,0,1774,N,5,no,53,12
4,7,1371,0,0,1371,N,5,no,51,11
4,8,1053,0,0,1053,E,6,no,49,9
4,9,698,0,0,698,E,7,no,50,10
4,10,1466,0,0,1466,SE,6,no,52,11
4,11,278,0,0,278,SE,8,yes,56,13
4,12,79,0,0,79,N,13,no,49,9
4,13,241,0,0,241,NE,13,no,46,8
4,14,370,0,0,370,SW,5,no,49,9
4,15,244,2,0,246,E,3,no,53,12
4,16,75,0,0,75,W,15,no,46,8
4,17,0,0,0,0,NW,12,no,49,9
4,18,6,0,0,6,W,4,no,47,8
4,19,57,0,0,57,var,2,no,51,11
4,20,13,0,0,13,SW,5,no,50,10
4,21,27,0,0,27,S ,13,no,54,12
4,22,0,0,0,0,NW,22,no,40,4
4,23,5,0,0,5,W,18,no,45,7
4,24,9,0,0,9,SW,7,no,50,10
4,25,108,0,0,108,N,16,yes,50,10
4,26,1,0,0,1,NW,18,no,50,10
4,27,7,0,0,7,SW,3,no,51,11
4,28,8,0,0,8,SW,6,no,61,16
4,29,9,0,0,9,SW,10,no,63,17
4,30,10,0,0,10,W,21,no,62,17
